"NR_ANO_ELEICAO";"CD_PAIS";"NM_PAIS";"SG_REGIAO";"NM_REGIAO";"SG_UF";"NM_UF";"CD_MUNICIPIO";"NM_MUNICIPIO";"QTD_ELEITORES";"QTD_ELEITORES_FEMININO";"QTD_ELEITORES_MASCULINO";"QTD_ELEITORES_NAOINFORMADO";"QTD_ELEITORES_MENOR16";"QTD_ELEITORES_16";"QTD_ELEITORES_17";"QTD_ELEITORES_18";"QTD_ELEITORES_19";"QTD_ELEITORES_20";"QTD_ELEITORES_21A24";"QTD_ELEITORES_25A29";"QTD_ELEITORES_30A34";"QTD_ELEITORES_35A39";"QTD_ELEITORES_40A44";"QTD_ELEITORES_45A49";"QTD_ELEITORES_50A54";"QTD_ELEITORES_55A59";"QTD_ELEITORES_60A64";"QTD_ELEITORES_65A69";"QTD_ELEITORES_70A74";"QTD_ELEITORES_75A79";"QTD_ELEITORES_80A84";"QTD_ELEITORES_85A89";"QTD_ELEITORES_90A94";"QTD_ELEITORES_95A99";"QTD_ELEITORES_MAIORIGUAL100";"QTD_ELEITORES_IDADEINVALIDO";"QTD_ELEITORES_IDADENAOSEAPLICA";"QTD_ELEITORES_IDADENAOINFORMADA";"QTD_ELEITORES_COMBIOMETRIA";"QTD_ELEITORES_SEMBIOMETRIA";"QTD_ELEITORES_DEFICIENTE";"QUANTITATIVO_NOMESOCIAL"
"2018";"1";"Brasil";"NE";"Nordeste";"AL";"Alagoas";"27855";"MACEIÓ";"595514";"330511";"265003";"0";"0";"1067";"3367";"8515";"11301";"13046";"55751";"64307";"67893";"68114";"63367";"57440";"51979";"42672";"33988";"24851";"16146";"7729";"2796";"884";"242";"29";"11";"19";"0";"0";"590773";"4741";"5859";"44"
"2018";"1";"Brasil";"NE";"Nordeste";"AL";"Alagoas";"27871";"MAJOR ISIDORO";"14396";"7540";"6856";"0";"0";"118";"168";"323";"320";"350";"1498";"1639";"1513";"1484";"1387";"1127";"1127";"887";"767";"634";"501";"331";"143";"56";"18";"4";"0";"1";"0";"0";"14394";"2";"30";"0"
"2018";"1";"Brasil";"NE";"Nordeste";"AL";"Alagoas";"27979";"MAR VERMELHO";"3325";"1677";"1648";"0";"0";"29";"48";"74";"66";"74";"335";"340";"381";"356";"365";"280";"254";"201";"184";"134";"98";"53";"34";"16";"2";"1";"0";"0";"0";"0";"3323";"2";"7";"0"
"2018";"1";"Brasil";"NE";"Nordeste";"AL";"Alagoas";"27898";"MARAGOGI";"19888";"10416";"9472";"0";"0";"131";"253";"490";"525";"528";"2193";"2472";"2328";"2332";"2089";"1634";"1414";"1127";"866";"647";"428";"268";"113";"33";"8";"5";"2";"2";"0";"0";"19872";"16";"61";"0"
"2018";"1";"Brasil";"NE";"Nordeste";"AL";"Alagoas";"27910";"MARAVILHA";"7796";"3977";"3819";"0";"0";"66";"108";"165";"221";"227";"807";"883";"906";"790";"709";"558";"626";"479";"439";"299";"241";"156";"69";"29";"13";"2";"3";"0";"0";"0";"7785";"11";"2";"0"
"2018";"1";"Brasil";"NE";"Nordeste";"AL";"Alagoas";"27936";"MARECHAL DEODORO";"35900";"18942";"16958";"0";"0";"134";"329";"665";"909";"913";"3663";"4037";"4101";"4215";"3868";"3178";"2752";"2302";"1867";"1308";"838";"516";"194";"77";"23";"3";"4";"4";"0";"0";"35864";"36";"53";"3"
"2018";"1";"Brasil";"NE";"Nordeste";"AL";"Alagoas";"27952";"MARIBONDO";"10241";"5525";"4716";"0";"0";"83";"111";"197";"215";"233";"972";"1079";"1159";"1108";"1080";"821";"764";"613";"587";"477";"345";"214";"134";"32";"12";"4";"1";"0";"0";"0";"10188";"53";"49";"0"
"2018";"1";"Brasil";"NE";"Nordeste";"AL";"Alagoas";"27995";"MATA GRANDE";"16836";"8671";"8165";"0";"0";"179";"310";"461";"487";"464";"1903";"1942";"1844";"1667";"1393";"1162";"1127";"982";"803";"726";"641";"386";"212";"89";"36";"9";"8";"5";"0";"0";"16782";"54";"55";"0"
"2018";"1";"Brasil";"NE";"Nordeste";"AL";"Alagoas";"28010";"MATRIZ DE CAMARAGIBE";"18639";"9713";"8926";"0";"0";"172";"342";"492";"513";"547";"2053";"2067";"2046";"2117";"1871";"1464";"1288";"1010";"931";"682";"437";"302";"173";"84";"30";"12";"6";"0";"0";"0";"18628";"11";"102";"0"
"2018";"1";"Brasil";"NE";"Nordeste";"AL";"Alagoas";"28037";"MESSIAS";"12674";"6572";"6102";"0";"0";"100";"169";"280";"331";"367";"1391";"1449";"1514";"1537";"1276";"1049";"892";"731";"593";"445";"254";"181";"73";"26";"8";"5";"3";"0";"0";"0";"12631";"43";"30";"0"
"2018";"1";"Brasil";"NE";"Nordeste";"AL";"Alagoas";"28053";"MINADOR DO NEGRÃO";"4605";"2356";"2249";"0";"0";"64";"91";"121";"121";"114";"461";"474";"506";"463";"455";"335";"355";"254";"263";"215";"165";"96";"35";"11";"1";"1";"2";"2";"0";"0";"4602";"3";"11";"0"
